"DMRnumber"	"chr"	"st"	"end"	"intercept"	"f"	"pval"	"qval"
"8145"	"chr17"	74324852	74325036	-2.05867591421519	22.4415262461098	2.60071316479517e-05	0.217588633792794
"7979"	"chr17"	5170246	5170469	-0.419858771839174	20.6391180193664	4.81137970697215e-05	0.217588633792794
"1508"	"chr7"	1688964	1689177	5.68794352619259	18.5578215258256	0.000100427058019058	0.217588633792794
"11762"	"chr2"	121077371	121077628	-1.70856363478182	17.7140968747161	0.000136464279665768	0.217588633792794
"11736"	"chr2"	1608953	1609231	-4.40862733503952	17.6914325713593	0.000137602474983765	0.217588633792794
"51"	"chr10"	25990201	25990374	0.319102412421646	17.5127402236968	0.000146934229553668	0.217588633792794
"6987"	"chr9"	97682557	97683178	3.22543979120368	17.3512342455817	0.000155942663722099	0.217588633792794
"4362"	"chr16"	79155874	79156095	6.3172653107159	16.9969200811069	0.00017780613133968	0.217588633792794
"4452"	"chr16"	1337316	1337493	6.45997990826846	16.7051098834092	0.000198234323297811	0.217588633792794
"7747"	"chr17"	63409972	63410243	2.67832457431515	16.4580837877261	0.000217459759357662	0.217588633792794
"9405"	"chr3"	33097199	33097456	2.80311026331639	16.3124402322416	0.000229707148245865	0.217588633792794
"306"	"chr10"	132170112	132170304	4.12681279024672	16.0455872526034	0.000254072033675077	0.217588633792794
"11597"	"chr2"	70205650	70205858	-1.45379521895901	16.0315278615624	0.000255428997976129	0.217588633792794
"9475"	"chr3"	160821714	160822024	1.05067987503511	15.4911307365636	0.000313831788482771	0.240164341214232
"866"	"chr14"	104006334	104006706	-1.49505118163213	15.3975177825123	0.000325304766207274	0.240164341214232
"9284"	"chr11"	3144678	3144993	0.781213499863766	15.0519541778739	0.000371636242268054	0.257221600040582
"4935"	"chr1"	155167066	155167570	4.21658964704241	14.669270689559	0.000431174117903964	0.268008138638498
"2029"	"chr19"	2294980	2295264	4.45534460175755	14.6429476137583	0.000435623329128647	0.268008138638498
"11245"	"chr2"	233247353	233247515	3.16247983419681	14.4753015294969	0.000465120258536033	0.271094691114956
