"DMRnumber"	"chr"	"st"	"end"	"intercept"	"f"	"pval"	"qval"
"12707"	"chr16"	10603065	10603332	6.65821148275178	43.2628108574919	5.64578713985325e-07	0.00628511050052918
"9382"	"chr22"	26137666	26138047	6.65821148275179	34.7662720773287	3.21820141272417e-06	0.017913136814131
"7386"	"chr19"	6269165	6269431	4.88752512146661	29.5772494451477	1.0604207951261e-05	0.0371649259219682
"3617"	"chr2"	103237266	103237562	5.26677565286705	28.6287699217982	1.33537993202303e-05	0.0371649259219682
"798"	"chr12"	71863160	71863339	5.13924193854069	25.8688198066292	2.67761675936875e-05	0.0596165487427104
"352"	"chr3"	126796034	126796439	0.591349169955494	24.5309584711227	3.80546113451068e-05	0.0706064632601151
"12693"	"chr16"	79030796	79031031	1.19776230222164	21.4632078814009	8.8598109910407e-05	0.140901246269649
"6875"	"chr14"	23894461	23894668	-1.55811101922718	20.1162817394751	0.000130836319869758	0.162050408133839
"7015"	"chr14"	105508422	105508638	3.72647313960052	19.8489762541545	0.000141568347759183	0.162050408133839
"9490"	"chr22"	20072086	20072479	5.80642420142556	19.7549464881007	0.000145566591100184	0.162050408133839
"7294"	"chr19"	1403636	1403819	-2.57238804555758	18.5046944583517	0.000212090108118517	0.214642711390367
"9616"	"chr22"	38064462	38064756	-0.105123767238019	17.8023790207017	0.000263371445845694	0.244329473585053
